age,job_level,housing,saving_accounts,checking_account,credit_amount,duration_months,purpose,employment_years,existing_credits,dependents,monthly_income,default
56,3,own,little,moderate,97074.0,24,car,31,2,0,37901.0,0
69,1,own,little,little,78654.0,36,furniture,38,4,3,49611.0,0
46,3,free,little,moderate,88365.0,36,furniture,34,1,1,8000.0,0
32,1,own,none,moderate,115989.0,12,business,16,4,3,33005.0,1
60,2,free,none,moderate,94879.0,24,car,9,4,1,39201.0,1
25,3,own,little,little,74688.0,24,education,34,4,2,30882.0,0
38,1,own,little,none,77391.0,48,education,15,2,3,83039.0,0
56,0,own,little,little,294376.0,12,business,5,3,3,53929.0,1
36,2,own,moderate,little,327259.0,6,appliances,3,3,1,41284.0,0
40,0,rent,little,little,74423.0,36,furniture,8,2,1,11901.0,1
28,2,free,little,moderate,164289.0,36,furniture,28,4,0,35461.0,1
28,3,own,little,little,60073.0,12,car,6,1,2,73719.0,0
41,2,own,rich,little,81138.0,24,furniture,15,2,1,34043.0,0
53,1,rent,rich,moderate,51405.0,6,car,5,4,0,37834.0,0
57,2,rent,moderate,moderate,182025.0,60,appliances,2,2,1,21585.0,1
41,2,own,little,little,132021.0,12,appliances,13,3,2,47997.0,0
20,0,own,none,little,148045.0,6,furniture,13,3,2,50758.0,0
39,2,rent,none,moderate,168208.0,6,car,8,3,2,48329.0,0
19,2,rent,little,little,58585.0,18,car,35,4,2,23801.0,1
41,2,own,little,moderate,81255.0,6,appliances,22,2,3,54193.0,0
61,1,own,moderate,little,128945.0,36,appliances,14,4,2,37599.0,0
47,2,free,little,little,80231.0,48,car,6,2,2,49279.0,0
55,0,rent,moderate,moderate,102915.0,12,education,19,1,0,59230.0,0
19,1,own,moderate,little,61094.0,24,car,18,3,2,52569.0,0
38,3,own,moderate,little,219222.0,6,car,5,1,1,56768.0,0
50,2,rent,little,moderate,173359.0,18,car,38,3,1,57426.0,0
29,0,own,moderate,none,207367.0,12,education,0,1,1,60724.0,0
39,1,own,none,rich,146601.0,12,car,6,4,3,62554.0,0
61,1,own,little,none,51209.0,24,car,34,3,1,66612.0,0
42,1,own,moderate,none,74034.0,12,car,24,4,2,52824.0,0
66,1,rent,little,none,64793.0,48,furniture,37,4,3,60148.0,1
44,0,own,little,rich,84595.0,36,business,22,2,2,48083.0,0
59,2,rent,moderate,moderate,186215.0,36,car,24,3,0,57385.0,0
45,2,own,little,moderate,40796.0,48,appliances,37,1,2,36768.0,0
33,2,own,little,little,69551.0,48,car,10,1,1,13305.0,1
32,2,own,little,moderate,77910.0,24,furniture,33,3,0,71118.0,0
64,0,free,moderate,none,44873.0,24,car,30,2,0,48491.0,0
68,3,rent,rich,moderate,111620.0,18,car,37,3,0,48051.0,0
61,3,own,little,rich,80403.0,36,car,11,4,0,61178.0,0
69,3,rent,moderate,moderate,192353.0,24,car,8,2,3,33058.0,0
20,3,rent,little,moderate,83694.0,48,appliances,12,4,2,43077.0,1
54,3,free,moderate,moderate,130010.0,12,business,19,3,0,34485.0,0
68,2,own,moderate,moderate,105767.0,18,appliances,20,2,3,41629.0,0
24,1,rent,moderate,moderate,22272.0,18,car,21,3,3,37965.0,0
38,2,own,none,rich,41727.0,36,furniture,0,3,3,35028.0,0
26,2,own,none,none,124259.0,6,car,39,2,2,51973.0,0
56,2,free,little,none,120907.0,24,business,16,2,0,11491.0,1
35,2,own,none,little,94731.0,18,repairs,3,3,2,68719.0,0
21,0,own,little,none,219275.0,6,appliances,5,1,3,32188.0,0
